Date,Stock,label,Predicted,prob_down,prob_up,Confidence,window_id,fit_start,fit_end,Return_1d
2026-03-18,NTPC,-1,1,0.37022012,0.6297799,0.6297799,14,2020-02-12,2026-02-24,-0.0126516395625306
2026-03-18,ONGC,1,1,0.42939484,0.57060516,0.57060516,14,2020-02-12,2026-02-24,0.0009442870632672
2026-03-18,POWERGRID,-1,1,0.42903996,0.57096004,0.57096004,14,2020-02-12,2026-02-24,0.0030150549295959
2026-03-18,RELIANCE,-1,1,0.38527346,0.61472654,0.61472654,14,2020-02-12,2026-02-24,0.0075128793527619
2026-03-18,SBIN,-1,1,0.3418272,0.6581728,0.6581728,14,2020-02-12,2026-02-24,0.0047901446275855
2026-03-18,SUNPHARMA,-1,1,0.4891032,0.5108968,0.5108968,14,2020-02-12,2026-02-24,-0.0089723447207346
2026-03-18,TCS,1,1,0.34681052,0.6531895,0.6531895,14,2020-02-12,2026-02-24,0.0205294169378242
2026-03-18,TECHM,1,-1,0.500481,0.499519,0.500481,14,2020-02-12,2026-02-24,0.0323445377585533
2026-03-18,TITAN,1,1,0.35095358,0.6490464,0.6490464,14,2020-02-12,2026-02-24,0.0134457890233468
2026-03-18,ULTRACEMCO,-1,1,0.31309593,0.6869041,0.6869041,14,2020-02-12,2026-02-24,0.01178481468154
2026-03-18,WIPRO,1,-1,0.57595766,0.42404237,0.57595766,14,2020-02-12,2026-02-24,0.01557597539963
2026-03-19,AXISBANK,1,1,0.32856733,0.6714327,0.6714327,14,2020-02-12,2026-02-24,-0.0368655864761829
2026-03-19,BAJAJ-AUTO,1,1,0.21825051,0.7817495,0.7817495,14,2020-02-12,2026-02-24,-0.0434149498435982
2026-03-19,BAJAJFINSV,-1,1,0.2650926,0.7349074,0.7349074,14,2020-02-12,2026-02-24,-0.042917748810397
2026-03-19,BAJFINANCE,1,1,0.24445683,0.7555432,0.7555432,14,2020-02-12,2026-02-24,-0.0544255933503647
2026-03-19,BPCL,-1,1,0.39874232,0.6012577,0.6012577,14,2020-02-12,2026-02-24,-0.0582812364029976
2026-03-19,BRITANNIA,-1,1,0.40832204,0.59167796,0.59167796,14,2020-02-12,2026-02-24,-0.0359388275276125
2026-03-19,CIPLA,-1,1,0.3261565,0.6738435,0.6738435,14,2020-02-12,2026-02-24,-0.0230981859110169
2026-03-19,COALINDIA,1,1,0.2798772,0.7201228,0.7201228,14,2020-02-12,2026-02-24,-0.002196836496448
2026-03-19,DRREDDY,-1,1,0.46916342,0.5308366,0.5308366,14,2020-02-12,2026-02-24,-0.0156781341231009
2026-03-19,EICHERMOT,-1,1,0.19911331,0.8008867,0.8008867,14,2020-02-12,2026-02-24,-0.0333689078619707
2026-03-19,HCLTECH,1,1,0.32154274,0.67845726,0.67845726,14,2020-02-12,2026-02-24,-0.0334511102612774
2026-03-19,HDFCBANK,-1,1,0.21958661,0.7804134,0.7804134,14,2020-02-12,2026-02-24,-0.0531996634070902
2026-03-19,HEROMOTOCO,-1,1,0.18568921,0.8143108,0.8143108,14,2020-02-12,2026-02-24,-0.0467194987099152
2026-03-19,HINDALCO,1,1,0.1597969,0.8402031,0.8402031,14,2020-02-12,2026-02-24,-0.0385831418155356
2026-03-19,HINDUNILVR,1,-1,0.5151899,0.48481008,0.5151899,14,2020-02-12,2026-02-24,-0.0271624589864225
2026-03-19,INDUSINDBK,-1,1,0.34015387,0.6598461,0.6598461,14,2020-02-12,2026-02-24,-0.0306952869105231
2026-03-19,INFY,1,1,0.43040246,0.56959754,0.56959754,14,2020-02-12,2026-02-24,-0.0365400739088502
2026-03-19,JSWSTEEL,1,-1,0.56136465,0.43863535,0.56136465,14,2020-02-12,2026-02-24,-0.041853784944862
2026-03-19,KOTAKBANK,-1,1,0.3634066,0.6365934,0.6365934,14,2020-02-12,2026-02-24,-0.0193127333987095
2026-03-19,LT,1,1,0.299509,0.700491,0.700491,14,2020-02-12,2026-02-24,-0.0480611804034611
2026-03-19,MARUTI,1,1,0.31081378,0.6891862,0.6891862,14,2020-02-12,2026-02-24,-0.0344114040465971
2026-03-19,NESTLEIND,1,1,0.37108284,0.62891716,0.62891716,14,2020-02-12,2026-02-24,-0.0153552450616136
2026-03-19,NTPC,-1,1,0.34662992,0.6533701,0.6533701,14,2020-02-12,2026-02-24,-0.0117569675218791
2026-03-19,ONGC,1,1,0.46686888,0.5331311,0.5331311,14,2020-02-12,2026-02-24,0.0154717211453418
2026-03-19,RELIANCE,-1,1,0.30438912,0.6956109,0.6956109,14,2020-02-12,2026-02-24,-0.0165470685049312
2026-03-19,SBIN,-1,1,0.30127937,0.69872063,0.69872063,14,2020-02-12,2026-02-24,-0.0195364396499281
2026-03-19,SUNPHARMA,-1,1,0.49330908,0.5066909,0.5066909,14,2020-02-12,2026-02-24,-0.0190631634050745
2026-03-19,TATASTEEL,1,1,0.37488174,0.62511826,0.62511826,14,2020-02-12,2026-02-24,-0.0250755287009063
2026-03-19,TCS,1,1,0.39256024,0.60743976,0.60743976,14,2020-02-12,2026-02-24,-0.0347427870914317
2026-03-19,TECHM,1,1,0.39930582,0.6006942,0.6006942,14,2020-02-12,2026-02-24,-0.0321975001141214
2026-03-19,TITAN,1,1,0.32138467,0.67861533,0.67861533,14,2020-02-12,2026-02-24,-0.0259558793043661
2026-03-19,WIPRO,1,1,0.40804517,0.5919548,0.5919548,14,2020-02-12,2026-02-24,-0.030313943886452
2026-03-20,ASIANPAINT,1,1,0.4127192,0.5872808,0.5872808,14,2020-02-12,2026-02-24,0.004300046817818
2026-03-20,AXISBANK,1,1,0.3343823,0.6656177,0.6656177,14,2020-02-12,2026-02-24,-0.0025683310571147
2026-03-20,BAJAJ-AUTO,1,1,0.2313093,0.7686907,0.7686907,14,2020-02-12,2026-02-24,0.0205784518238709
